Aerminute,Call Sign,Closest UPA,Code,County,Division,FAA Station Type,FAA's Station Telephone #,Location,State,Wban,#,Actual Local (meters),Actual Local Lat. (N),Actual Local Lon. (W),Corrected Local Lat. (N),Corrected Local Lon. (W),Distance To ABR,Distance To INL,Distance To MPX,FAA Lat. (N),FAA Lon. (W),Latitude,Longitude,NCDC (ASL) Elevation (feet),NCDC (ASL) Elevation (meters),NCDC DecDeg Lat. (N),NCDC DecDeg Lon. (W),NCDC ISHD Elevation (feet),NCDC ISHD Elevation (meters),NCDC ISHD Lat. (N),NCDC ISHD Lon. (W),Usaf,years,start_year,end_year
No,PQN,ABR,KPQN,Pipestone,Southwest,AWOS IIIP,507-825-6895,Pipestone,MN,4965,71,527,43.983132,-96.300329,NA,NA,2.575382983,5.420633965,2.869189952,43.9833,-96.3003,43.983132,-96.300329,1736,529.1,43.983333,-96.3,1735.8899999999999,529.1,43.983,-96.3,726566,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,VVV,ABR,KVVV,Big Stone,West Central,AWOS IIIP,320-839-2363,Ortonville,MN,4982,86,332,45.305039,-96.412399,NA,NA,2.006602049,4.437284469,2.883557074,45.3057,-96.4244,45.305039,-96.412399,1100,335.3,45.3,-96.416667,1100.07,335.3,45.306,-96.417,727515,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,DTL,ABR,KDTL,Becker,Northwest,AWOS IIIP/T,218-847-8626,Detroit Lakes,MN,94962,20,421,46.825231,-95.883012,46.8285,-95.8857,2.877315802,3.031275265,3.045743721,46.8252,-95.8856,46.8285,-95.883012,1398,426.1,46.833333,-95.883333,1396,425.5,46.825,-95.883,727457,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,JKJ,ABR,KJKJ,Clay,Northwest,AWOS IIIP/T,218-287-5049,Moorhead,MN,4939,48,279,46.838969,-96.655526,NA,NA,2.236983832,3.684690806,3.675474509,46.8393,-96.6637,46.838969,-96.655526,917,279.5,46.833333,-96.666667,916.9947800000001,279.5,46.839,-96.651,722129,2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2e3,2017
No,CKN,ABR,KCKN,Polk,Northwest,AWOS IIIP/T,218-281-3018,Crookston,MN,4912,16,272,47.84041,-96.620398,NA,NA,2.983746325,3.301858525,4.275610211,47.8417,-96.6216,47.84041,-96.620398,899,274,47.85,-96.616667,898.9501312,274,47.842,-96.617,727452,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,LYV,ABR,KLYV,Rock,Southwest,AWOS IIIP/T,507-283-5027,Luverne - Quentin Aprt,MN,54926,54,434,43.621577,-96.215292,NA,NA,2.8626156210000002,5.686676609,2.920866629,43.6212,-96.2158,43.621577,-96.215292,1431.1,436.2,43.616667,-96.216667,1431.1,436.2,43.621,-96.216,722006,2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2005,2017
No,MOX,ABR,KMOX,Stevens,West Central,AWOS IIIP/T,320-589-1303,Morris,MN,4948,59,344,45.567768,-95.966039,NA,NA,2.449893116,3.944088812,2.506126384,45.566,-95.9672,45.567768,-95.966039,1130,344.4,45.566667,-95.966667,1129.92,344.4,45.566,-95.967,726565,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,BJI,INL,KBJI,Beltrami,North Central,AWOS III,218-759-2501,Bemidji,MN,14958,12,421,47.506154,-94.925631,47.507596,-94.92774,4.0459388,1.856508196,2.984818606,47.50942,-94.93372,47.507596,-94.925631,1392,424.3,47.5,-94.933333,1390.09,423.7,47.509,-94.933,727550,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,GPZ,INL,KGPZ,Itasca,North Central,AWOS III,218-326-8337,Grand Rapids,MN,94919,40,411,47.202808,-93.507,NA,NA,5.208223898,1.363000796,2.354056025,47.2111,-93.50984,47.202808,-93.507,1302,396.8,47.216667,-93.516667,1354.99,413,47.164,-93.484,727458,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,TVF,INL,KTVF,Pennington,Northwest,AWOS III,218-681-1918,Thief River Falls,MN,94956,84,338,48.066117,-96.183482,NA,NA,3.433355601,2.828954618,4.147647559,48.06568,-96.18499,48.066117,-96.183482,1115,339.9,48.066667,-96.183333,1116.1399999999999,340.2,48.065,-96.183,727555,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
