Transaction Type|Action Indicator|State Code / Tribal Indicator|County Code / Tribal Code|Site Number|Parameter|POC|Duration Code|Reported Unit|Method Code|Sample Date|Sample Begin Time|Reported Sample Value|Null Data Code|Collection Frequency Code|Monitor Protocol ID|Qualifier Code - 1|Qualifier Code - 2|Qualifier Code - 3|Qualifier Code - 4|Qualifier Code - 5|Qualifier Code - 6|Qualifier Code - 7|Qualifier Code - 8|Qualifier Code - 9|Qualifier Code - 10|Alternate Method Detection Limit|Uncertainty Value
RD|I|27|035|3202|43207|1|7|001|211|20001009|00:00|0.605||||SQ||||||||||0.201|
RD|I|27|035|3202|43207|1|7|001|211|20001021|00:00|0.590||||SQ||||||||||0.201|
RD|I|27|035|3202|43207|1|7|001|211|20001027|00:00|0.490||||SQ||||||||||0.201|
RD|I|27|035|3202|43207|1|7|001|211|20001114|00:00|0.521||||SQ||||||||||0.201|
RD|I|27|035|3202|43207|1|7|001|211|20001120|00:00|0.506||||SQ||||||||||0.201|
RD|I|27|035|3202|43207|1|7|001|211|20001126|00:00|0.460||||SQ||||||||||0.201|
RD|I|27|035|3202|43207|1|7|001|211|20001202|00:00|0.414||||SQ||||||||||0.201|
RD|I|27|035|3202|43207|1|7|001|211|20001214|00:00|0.605||||SQ||||||||||0.201|
RD|I|27|035|3202|43207|1|7|001|211|20001220|00:00|0.667||||||||||||||0.201|
RD|I|27|035|3202|43207|1|7|001|211|20001226|00:00|0.605||||SQ||||||||||0.201|
RD|I|27|035|3202|43208|1|7|001|211|20001009|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43208|1|7|001|211|20001021|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43208|1|7|001|211|20001027|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43208|1|7|001|211|20001114|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43208|1|7|001|211|20001120|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43208|1|7|001|211|20001126|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43208|1|7|001|211|20001202|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43208|1|7|001|211|20001214|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43208|1|7|001|211|20001220|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43208|1|7|001|211|20001226|00:00|0||||ND||||||||||0.146|
RD|I|27|035|3202|43218|1|7|001|211|20001009|00:00|0||||ND||||||||||0.174|
RD|I|27|035|3202|43218|1|7|001|211|20001021|00:00|0||||ND||||||||||0.174|
RD|I|27|035|3202|43218|1|7|001|211|20001027|00:00|0||||ND||||||||||0.174|
RD|I|27|035|3202|43218|1|7|001|211|20001114|00:00|0||||ND||||||||||0.174|
RD|I|27|035|3202|43218|1|7|001|211|20001120|00:00|0||||ND||||||||||0.174|
RD|I|27|035|3202|43218|1|7|001|211|20001126|00:00|0||||ND||||||||||0.174|
RD|I|27|035|3202|43218|1|7|001|211|20001202|00:00|0.040||||MD||||||||||0.174|
RD|I|27|035|3202|43218|1|7|001|211|20001214|00:00|0||||ND||||||||||0.174|
RD|I|27|035|3202|43218|1|7|001|211|20001220|00:00|0||||ND||||||||||0.174|
RD|I|27|035|3202|43218|1|7|001|211|20001226|00:00|0||||ND||||||||||0.174|
RD|I|27|035|3202|43502|1|7|001|202|20001009|00:00|1.25512||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001015|00:00|0.56352||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001021|00:00|1.04893||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001027|00:00|0.32196||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001102|00:00||AV|||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001108|00:00||AG|||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001114|00:00|0.37056||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001120|00:00|0.33822||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001126|00:00|0.60400||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001202|00:00|1.04002||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001208|00:00||AG|||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001214|00:00|0.99747||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001220|00:00|0.59012||||||||||||||0.01470|
RD|I|27|035|3202|43502|1|7|001|202|20001226|00:00|0.63030||||||||||||||0.01470|
RD|I|27|035|3202|43503|1|7|001|202|20001009|00:00|1.26361||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001015|00:00|0.46411||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001021|00:00|0.88272||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001027|00:00|0.19872||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001102|00:00||AV|||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001108|00:00||AG|||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001114|00:00|0.51037||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001120|00:00|0.28946||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001126|00:00|0.50258||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001202|00:00|0.88247||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001208|00:00||AG|||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001214|00:00|1.48418||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001220|00:00|0.64832||||||||||||||0.02520|
RD|I|27|035|3202|43503|1|7|001|202|20001226|00:00|0.60381||||||||||||||0.02520|
RD|I|27|035|3202|43504|1|7|001|202|20001009|00:00|0.16801||||||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001015|00:00|0.07323||||SQ||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001021|00:00|0.13453||||||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001027|00:00|0||||ND||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001102|00:00||AV|||||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001108|00:00||AG|||||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001114|00:00|0.04294||||SQ||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001120|00:00|0.04465||||SQ||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001126|00:00|0.08815||||SQ||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001202|00:00|0.14081||||||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001208|00:00||AG|||||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001214|00:00|0.31036||||||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001220|00:00|0.13398||||||||||||||0.03560|
RD|I|27|035|3202|43504|1|7|001|202|20001226|00:00|0.10384||||SQ||||||||||0.03560|
RD|I|27|035|3202|43510|1|7|001|202|20001009|00:00|0.21578||||SQ||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001015|00:00|0.11416||||SQ||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001021|00:00|0.14172||||SQ||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001027|00:00|0||||ND||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001102|00:00||AV|||||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001108|00:00||AG|||||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001114|00:00|0.18942||||SQ||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001120|00:00|0.09859||||SQ||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001126|00:00|0.05535||||MD||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001202|00:00|0.15705||||SQ||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001208|00:00||AG|||||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001214|00:00|0.49429||||||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001220|00:00|0.19345||||SQ||||||||||0.07670|
RD|I|27|035|3202|43510|1|7|001|202|20001226|00:00|0.16315||||SQ||||||||||0.07670|
RD|I|27|035|3202|43516|1|7|001|202|20001009|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001015|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001021|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001027|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001102|00:00||AV|||||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001108|00:00||AG|||||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001114|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001120|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001126|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001202|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001208|00:00||AG|||||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001214|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001220|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43516|1|7|001|202|20001226|00:00|0||||ND||||||||||0.05730|
RD|I|27|035|3202|43551|1|7|001|202|20001009|00:00|2.06018|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001015|00:00|1.32125|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001021|00:00|1.47271|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001027|00:00|0.69754|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001102|00:00||AV||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001108|00:00||AG||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001114|00:00|1.04904|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001120|00:00|0.83081|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001126|00:00|0.23106|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001202|00:00|0.52355|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001208|00:00||AG||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001214|00:00|2.74021|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001220|00:00|1.48269|||||||||||||||
RD|I|27|035|3202|43551|1|7|001|202|20001226|00:00|0.91037|||||||||||||||
RD|I|27|035|3202|43802|1|7|001|211|20001009|00:00|0.120||||MD||||||||||0.154|
RD|I|27|035|3202|43802|1|7|001|211|20001021|00:00|0.151||||MD||||||||||0.154|
RD|I|27|035|3202|43802|1|7|001|211|20001027|00:00|0||||ND||||||||||0.154|
RD|I|27|035|3202|43802|1|7|001|211|20001114|00:00|0||||ND||||||||||0.154|
RD|I|27|035|3202|43802|1|7|001|211|20001120|00:00|0||||ND||||||||||0.154|
RD|I|27|035|3202|43802|1|7|001|211|20001126|00:00|0||||ND||||||||||0.154|
RD|I|27|035|3202|43802|1|7|001|211|20001202|00:00|0.082||||MD||||||||||0.154|
RD|I|27|035|3202|43802|1|7|001|211|20001214|00:00|0.194||||SQ||||||||||0.154|
RD|I|27|035|3202|43802|1|7|001|211|20001220|00:00|0.113||||MD||||||||||0.154|
RD|I|27|035|3202|43802|1|7|001|211|20001226|00:00|0||||ND||||||||||0.154|
RD|I|27|035|3202|43803|1|7|001|211|20001009|00:00|0.103||||SQ||||||||||0.088|
RD|I|27|035|3202|43803|1|7|001|211|20001021|00:00|0.093||||SQ||||||||||0.088|
RD|I|27|035|3202|43803|1|7|001|211|20001027|00:00|0.039||||MD||||||||||0.088|
RD|I|27|035|3202|43803|1|7|001|211|20001114|00:00|0||||ND||||||||||0.088|
RD|I|27|035|3202|43803|1|7|001|211|20001120|00:00|0.244||||SQ||||||||||0.088|
RD|I|27|035|3202|43803|1|7|001|211|20001126|00:00|0||||ND||||||||||0.088|
RD|I|27|035|3202|43803|1|7|001|211|20001202|00:00|0.083||||MD||||||||||0.088|
RD|I|27|035|3202|43803|1|7|001|211|20001214|00:00|0.093||||SQ||||||||||0.088|
RD|I|27|035|3202|43803|1|7|001|211|20001220|00:00|0.088||||SQ||||||||||0.088|
RD|I|27|035|3202|43803|1|7|001|211|20001226|00:00|0.083||||MD||||||||||0.088|
RD|I|27|035|3202|43804|1|7|001|211|20001009|00:00|0.711||||||||||||||0.215|
RD|I|27|035|3202|43804|1|7|001|211|20001021|00:00|0.648||||SQ||||||||||0.215|
