site_catid,site_name,street_addr,city_name,zipcode,stateid,cntyid,siteid,horiz_datum,lat,long,horiz_method_code,horiz_accuracy,horiz_scale,elev_measure,elev_method_code,elev_datum,elev_accuracy,timezone,uarid,aqcrid,landuse,setting,census_tract,block,established,terminated
27-053-1007,Humboldt Avenue,4646 North Humboldt,Minneapolis,55412,27,53,1007,WGS84,45.0397200009432,-93.29874,27,263,0,263,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,SUBURBAN,10,2006,1966-01-01,
55-081-1005,,20319 Hwy 21,,54660,55,81,1005,WGS84,44.006100000000004,-90.5959,103,0.5,,275.23,1,NAVD88,,CENTRAL,,128,FOREST,RURAL,950200,4001,2013-03-29,
19-013-0008,,"GROUT MUSEUM, W. PARK ST. & SOUTH ST.",Waterloo,,19,13,8,WGS84,42.493042295,-92.344074284,27,0,0,264,,UNKNOWN,0,CENTRAL,8920,88,COMMERCIAL,URBAN AND CENTER CITY,,,1980-01-01,
19-013-0009,Water Tower,Vine St. & Steely,Waterloo,50703,19,13,9,WGS84,42.5015430009398,-92.316017,27,1,,270,14,MEAN SEA-LEVEL,1,CENTRAL,8920,88,INDUSTRIAL,URBAN AND CENTER CITY,1900,2004,2009-01-01,
19-017-0011,WAVERLY AIRPORT SITE,WAVERLY AIRPORT,Waverly,,19,17,11,WGS84,42.743036336,-92.51324149,15,1.09,0,0,,UNKNOWN,0,CENTRAL,,88,AGRICULTURAL,RURAL,,,2000-03-31,
19-029-0003,ATLANTIC-CAFO,"HIWY 6, 3 MILES S OF ATLANTIC",,,19,29,3,WGS84,41.330900165,-95.068677652,18,3,24000,1140,14,MEAN SEA-LEVEL,3,CENTRAL,0,93,AGRICULTURAL,RURAL,,,2003-03-01,2003-09-23
19-033-0011,"MASON CITY, WATER PLANT",339 13TH ST. NE,Mason City,,19,33,11,WGS84,43.163294741,-93.194370368,27,0,0,332,,UNKNOWN,0,CENTRAL,0,89,INDUSTRIAL,SUBURBAN,,,1970-01-01,2002-12-31
19-033-0014,,17TH STREET NW AND QUINCY,Mason City,,19,33,14,WGS84,43.169128008,-93.210203619,27,0,0,344,,UNKNOWN,0,CENTRAL,0,89,INDUSTRIAL,SUBURBAN,,,1984-01-01,2002-12-31
19-033-0018,"MASON CITY, HOLCIM",17TH ST. & WASHINGTON ST.,Mason City,50401,19,33,18,WGS84,43.1694401325984,-93.2024259749473,27,109305.56,24000,343,,UNKNOWN,0,CENTRAL,,89,RESIDENTIAL,SUBURBAN,95010,2007,1997-11-06,
19-033-0019,10TH AND MONROE,10TH AND MONROE,Mason City,,19,33,19,WGS84,43.161628262,-93.208536555,27,109305.56,20000,0,,UNKNOWN,0,CENTRAL,0,89,RESIDENTIAL,SUBURBAN,,,1999-07-01,2004-08-06
19-033-0020,"MASON CITY, WASHINGTON SCH.",700 N. WASHINGTON,Mason City,50401,19,33,20,WGS84,43.1585612745065,-93.2030050769546,18,100,24000,348,14,MEAN SEA-LEVEL,10,CENTRAL,,89,RESIDENTIAL,SUBURBAN,95010,3018,2004-08-06,
19-045-0018,,23RD PLACE & IOWA AVE  CHANCEY PARK,Clinton,,19,45,18,WGS84,41.82475165,-90.212905465,27,0,0,195,,UNKNOWN,0,CENTRAL,0,69,RESIDENTIAL,SUBURBAN,,,1985-01-01,2002-12-31
19-045-0019,"CLINTON, CHANCY PARK",23RD & CAMANCHE,Clinton,52732,19,45,19,WGS84,41.8232826881747,-90.2119824210275,27,1,0,189,14,MEAN SEA-LEVEL,1,CENTRAL,,69,INDUSTRIAL,URBAN AND CENTER CITY,20,9017,1987-06-01,
19-045-0021,"CLINTON, RAINBOW PARK",ROOSEVELT ST.,Clinton,52732,19,45,21,WGS84,41.8749989322255,-90.17757390303,27,1,24000,0,14,MEAN SEA-LEVEL,1,CENTRAL,,69,RESIDENTIAL,SUBURBAN,70,3013,1998-12-10,
19-055-0001,BACKBONE STATE PARK,BACKBONE STATE PARK,,52038,19,55,1,WGS84,42.600834312788,-91.5384930487352,27,0,0,308,,UNKNOWN,0,CENTRAL,,88,,,950200,2033,1959-01-01,
19-063-0003,"ESTHERVILLE, IOWA LAKES COLL.",19 S. 7TH,Estherville,,19,63,3,WGS84,43.397458673,-94.817485478,27,1,24000,400,14,MEAN SEA-LEVEL,1,CENTRAL,,90,COMMERCIAL,URBAN AND CENTER CITY,,,1999-12-01,2012-12-31
19-065-0003,WEST UNION-CAFO,14007 240TH ST.,West Union,,19,65,3,WGS84,42.9788,-91.8642,18,10,25000,371,14,MEAN SEA-LEVEL,2,CENTRAL,0,88,AGRICULTURAL,RURAL,,,2004-06-28,
19-079-0007,WILLIAMS-CAFO,2575 YOUNG AVE.,,50271,19,79,7,WGS84,42.416406985,-93.502325543,18,10,25000,396,14,UNKNOWN,10,CENTRAL,0,89,AGRICULTURAL,RURAL,,,2002-04-20,2004-06-16
19-079-0008,STANHOPE-CAFO,3131 LAKINS GROVE AVE.,,,19,79,8,WGS84,42.3353,-93.7577,18,10,25000,345,14,MEAN SEA-LEVEL,2,CENTRAL,0,89,AGRICULTURAL,RURAL,,,2004-05-15,
19-079-0009,JEWELL-CAFO,2310 320TH ST.,,,19,79,9,WGS84,42.3743,-93.7127,18,10,25000,329,14,MEAN SEA-LEVEL,2,CENTRAL,0,89,AGRICULTURAL,RURAL,,,2004-07-27,
19-081-0008,KANAWHA-CAFO,1390 105TH ST.,,,19,81,8,WGS84,42.9155,-93.7163,18,10,25000,373,14,MEAN SEA-LEVEL,2,CENTRAL,0,89,AGRICULTURAL,RURAL,,,2004-06-23,
19-083-0004,IOWA FALLS-CAFO,26132 110TH ST.,Iowa Falls,50126,19,83,4,WGS84,42.5433,-93.1819,18,10,25000,354,14,MEAN SEA-LEVEL,2,CENTRAL,0,89,AGRICULTURAL,RURAL,,,2004-04-26,
19-085-0006,WOODBINE-CAFO,1/4 MI. N. OF F20-L,,,19,85,6,WGS84,41.786645352,-95.801354882,18,3,24000,1185,14,MEAN SEA-LEVEL,3,CENTRAL,0,93,AGRICULTURAL,RURAL,,,2003-04-01,2004-05-24
19-085-0007,,"206 Polk St, Pisgah, IA",,51564,19,85,7,WGS84,41.8322560508807,-95.9281846453789,104,10,,325,14,NAVD88,10,CENTRAL,,93,RESIDENTIAL,URBAN AND CENTER CITY,99010,1068,2009-04-01,
19-085-1101,"PISGAH, HIGHWAY MAINTENANCE",1575 HWY 183,,51557,19,85,1101,WGS84,41.7802613968536,-95.9484354467964,27,1,24000,333.5,14,MEAN SEA-LEVEL,1,CENTRAL,,93,AGRICULTURAL,URBAN AND CENTER CITY,99010,2196,1996-10-01,2017-06-30
19-103-2001,"IOWA CITY, HOOVER SCH.",2200 EAST COURT,Iowa City,52245,19,103,2001,WGS84,41.657232000937,-91.503478,27,1,24000,225,14,MEAN SEA-LEVEL,1,CENTRAL,3500,91,RESIDENTIAL,URBAN AND CENTER CITY,1200,1000,1999-01-27,
19-111-0008,"KEOKUK, FIRE STATION",111S. 13TH ST.,Keokuk,52632,19,111,8,WGS84,40.4009586474442,-91.3910115339692,27,109305.56,24000,0,,UNKNOWN,0,CENTRAL,,65,RESIDENTIAL,URBAN AND CENTER CITY,99100,2029,2001-06-26,
19-111-0009,Cardinal Stritch School,"Cardinal Stritch Jr/Sr High School, 2981 Plank Road, Keokuk IA 52632",,52632,19,111,9,WGS84,40.4204010009315,-91.403382,104,3,24000,203,14,MEAN SEA-LEVEL,3,CENTRAL,,65,RESIDENTIAL,SUBURBAN,99070,3028,2010-08-01,
19-113-0028,KIRKWOOD,6301 KIRKWOOD BLVD SW   (IOWA HALL),Cedar Rapids,,19,113,28,WGS84,41.910560452,-91.652121426,27,0,0,268,,UNKNOWN,0,CENTRAL,1360,88,COMMERCIAL,SUBURBAN,,,1987-05-14,2017-06-30
19-113-0029,,1ST STREET & 5TH AVENUE SE,Cedar Rapids,,19,113,29,WGS84,41.974722903,-91.666846566,27,0,0,0,,UNKNOWN,0,CENTRAL,1360,88,COMMERCIAL,URBAN AND CENTER CITY,,,1988-07-01,2007-12-31
19-113-0030,,200 2ND AVENUE S.E.,Cedar Rapids,,19,113,30,WGS84,41.980556567,-91.669623796,27,0,0,239,,UNKNOWN,0,CENTRAL,1360,88,COMMERCIAL,URBAN AND CENTER CITY,,,1989-12-01,2006-06-30
19-113-0031,SCOTTISH RITE TEMPLE,616 A AVE.,Cedar Rapids,,19,113,31,WGS84,41.98333349,-91.662957723,7,0,10000,0,,UNKNOWN,0,CENTRAL,1360,88,RESIDENTIAL,URBAN AND CENTER CITY,,,1996-01-03,2013-12-31
19-113-0033,COGGON ELEMENTARY SCHOOL BLDG. NORTHERN LIMITS OF LINN COUNTY,"408 E. LINN ST. COGGON, IOWA",Coggon,52218,19,113,33,WGS84,42.281013,-91.526879,19,1.09,0,282,,UNKNOWN,0,CENTRAL,,88,RESIDENTIAL,URBAN AND CENTER CITY,10100,3007,1997-04-01,
19-113-0036,ON ROOF OF MONROE ELEMENTARY SCHOOL,3200 PIONEER AVE SE,Cedar Rapids,,19,113,36,WGS84,41.970279628,-91.620178392,7,1.09,10000,0,,UNKNOWN,0,CENTRAL,1360,88,RESIDENTIAL,URBAN AND CENTER CITY,,,1999-01-01,2002-12-31
19-113-0037,ARMY RESERVE CENTER ROOF- CORE MONITORING SITE,1599 WENIG RD NE,Cedar Rapids,52402,19,113,37,WGS84,42.00508,-91.6793,15,1.09,0,0,,UNKNOWN,0,CENTRAL,1360,88,RESIDENTIAL,URBAN AND CENTER CITY,902,1002,1999-01-01,
19-113-0038,BY CELLULAR TOWER TOP OF HILL,ELY RD SW CEDAR RAPIDS,Cedar Rapids,,19,113,38,WGS84,41.941114036,-91.634066895,15,1.09,0,0,,UNKNOWN,0,CENTRAL,1360,88,INDUSTRIAL,SUBURBAN,,,1998-12-01,
19-113-0039,HAWKEYE DOWNS SOUTHWEST CORNER,4400 6TH ST SW,Cedar Rapids,,19,113,39,WGS84,41.934169858,-91.68267875,15,1.09,0,0,,UNKNOWN,0,CENTRAL,1360,88,INDUSTRIAL,URBAN AND CENTER CITY,,,2000-06-01,
19-113-0040,Public Health,500 11TH ST NW,Cedar Rapids,52405,19,113,40,WGS84,41.97677,-91.68766,103,6,,224,1,NAVD88,6,CENTRAL,1360,88,RESIDENTIAL,URBAN AND CENTER CITY,230,1004,2008-01-12,
19-113-0041,Tait Cummins,3000 C St SW,Cedar Rapids,52404,19,113,41,WGS84,41.948708,-91.639535,103,3,,220,9,NAVD88,3,CENTRAL,1360,88,INDUSTRIAL,SUBURBAN,2900,1015,2014-01-01,
19-113-0050,CR School,615 G Ave NW,Cedar Rapids,52405,19,113,50,WGS84,41.979556,-91.680564,103,6,,1,1,NAVD88,6,CENTRAL,1360,88,INDUSTRIAL,URBAN AND CENTER CITY,1200,3018,2009-04-01,2014-03-31
19-113-0060,HACAP,5560 6th St SW,Cedar Rapids,52404,19,113,60,WGS84,41.92425,-91.67808,103,6,,1,1,NAVD88,6,CENTRAL,1360,88,COMMERCIAL,URBAN AND CENTER CITY,300,3016,2009-04-01,2014-03-31
19-113-0070,H Avenue,"402 H Ave NW Cedar Rapids, Iowa 52405",Cedar Rapids,52405,19,113,70,WGS84,41.98128,-91.678733,103,5,,222,14,NAVD88,5,CENTRAL,1360,88,RESIDENTIAL,URBAN AND CENTER CITY,1200,3022,2012-04-01,2014-03-31
19-137-0002,VIKING LAKE STATE PARK,2780 VIKING LAKE ROAD,,51573,19,137,2,WGS84,40.9691120009341,-95.044951,18,10,25000,426,14,MEAN SEA-LEVEL,10,CENTRAL,,93,AGRICULTURAL,RURAL,980400,3016,2002-01-01,
19-139-0015,MUSCATINE HS - East Campus School Roof,1409 WISCONSIN,Muscatine,52761,19,139,15,WGS84,41.4009679259914,-91.0679566789336,27,1,0,171,14,MEAN SEA-LEVEL,1,CENTRAL,,69,INDUSTRIAL,SUBURBAN,51000,2037,1978-01-01,
19-139-0016,"MUSCATINE, GREENWOOD CEMETARY",FLETCHER ST. & KIMBLE ST.,Muscatine,52761,19,139,16,WGS84,41.4194287908978,-91.0709752344439,27,1,0,219,14,MEAN SEA-LEVEL,1,CENTRAL,,69,RESIDENTIAL,URBAN AND CENTER CITY,5100,1008,1982-01-01,
19-139-0017,,2200 STEWARD ROAD,Muscatine,52761,19,139,17,WGS84,41.387969304554,-91.0545040491519,27,0,0,167,,UNKNOWN,0,CENTRAL,,69,INDUSTRIAL,SUBURBAN,5040,3000,1991-12-12,
19-139-0018,FRANKLIN SCHOOL,"210 TAYLOR ST MUSCATINE, IA",Muscatine,52761,19,139,18,WGS84,41.4143883351534,-91.0626054961712,27,1,,166,14,MEAN SEA-LEVEL,1,CENTRAL,,69,RESIDENTIAL,URBAN AND CENTER CITY,5100,1018,2009-01-01,
19-139-0019,Muscatine HS - East Campus School Trailer,"1409 Wisconsin St, Muscatine IA",Muscatine,52761,19,139,19,WGS84,41.401459,-91.068449,27,1,1,169,14,MEAN SEA-LEVEL,1,CENTRAL,,69,INDUSTRIAL,SUBURBAN,51000,2037,2012-01-01,
19-139-0020,"MUSCATINE, MUSSER PARK",OREGON ST. & EARL AVE.,Muscatine,52761,19,139,20,WGS84,41.406900000936,-91.0616,27,0,0,544,,UNKNOWN,0,CENTRAL,,69,INDUSTRIAL,SUBURBAN,5100,1044,1989-12-11,
19-147-1002,"EMMETSBURG, IOWA LAKES COMMUNITY COLL.",IOWA LAKES COMMUNITY COLLEGE,Emmetsburg,50536,19,147,1002,WGS84,43.1237040009413,-94.693518,27,1,24000,379,14,MEAN SEA-LEVEL,1,CENTRAL,,90,RESIDENTIAL,SUBURBAN,960300,1020,1997-09-16,
19-153-0026,,"MAIN & S. 5TH ST,DALLAS-GRIMES ELEM SCH",,,19,153,26,WGS84,41.684155113,-93.791057187,27,0,0,298,,UNKNOWN,0,CENTRAL,2120,92,RESIDENTIAL,SUBURBAN,,,1985-01-01,2002-12-31
19-153-0030,CARPENTER,"1907 CARPENTER, DES MOINES IOWA",Des Moines,50314,19,153,30,WGS84,41.6031590009368,-93.643118,19,50,24000,0,,UNKNOWN,0,CENTRAL,2120,92,COMMERCIAL,URBAN AND CENTER CITY,120,3017,2000-10-01,
19-153-0052,,"TECH HIGH SCHOOL, 19TH & GRAND",Des Moines,,19,153,52,WGS84,41.584156288,-93.641885595,27,0,0,251,,UNKNOWN,0,CENTRAL,,92,COMMERCIAL,URBAN AND CENTER CITY,,,1979-01-01,2006-12-31
19-153-0058,,"PHILLIPS SCHOOL , 1701 LAY ST",Des Moines,,19,153,58,WGS84,41.607767156,-93.572160304,27,0,0,250,,UNKNOWN,0,CENTRAL,2120,92,RESIDENTIAL,URBAN AND CENTER CITY,,,1981-01-01,2006-10-31
19-153-0059,,"SE 18TH AND SCOTT, NATIONAL BY-PRODUCTS",Des Moines,50317,19,153,59,WGS84,41.5831833309367,-93.58385,19,50,0,244,,UNKNOWN,0,CENTRAL,2120,92,INDUSTRIAL,URBAN AND CENTER CITY,520,4034,1985-01-01,2007-12-31
19-153-0061,,"2916 30TH ST. NW, EASTER SEAL",Des Moines,,19,153,61,WGS84,41.622766921,-93.657997309,27,0,0,277,,UNKNOWN,0,CENTRAL,,92,RESIDENTIAL,SUBURBAN,,,1980-01-01,2006-12-31
